rank,ranking_eligible,ranking_area_threshold_km2,name,gb,valid_cells,valid_area_km2,level_1_cells,level_1_area_km2,level_1_share,level_2_cells,level_2_area_km2,level_2_share,level_3_cells,level_3_area_km2,level_3_share,tdpi_high_cells,tdpi_high_area_km2,tdpi_high_share,priority_index
1,1,100.0,泸定县,156513322,2160,2160.0,74,74.0,0.03425925925925926,187,187.0,0.08657407407407407,1899,1899.0,0.8791666666666667,208,208.0,0.0962962962962963,0.2759259259259259
2,1,100.0,康定市,156513301,11585,11585.0,352,352.0,0.030384117393180837,690,690.0,0.059559775571860166,10543,10543.0,0.910056107034959,756,756.0,0.06525679758308157,0.21027190332326284
3,1,100.0,丹巴县,156513323,4509,4509.0,102,102.0,0.02262142381902861,168,168.0,0.037258815701929474,4239,4239.0,0.9401197604790419,205,205.0,0.04546462630294966,0.14238190286094476
4,1,100.0,汶川县,156513221,4055,4055.0,90,90.0,0.02219482120838471,142,142.0,0.03501849568434032,3823,3823.0,0.942786683107275,153,153.0,0.037731196054254006,0.13662145499383477
5,1,100.0,巴塘县,156513335,7604,7604.0,136,136.0,0.01788532351394003,310,310.0,0.04076801683324566,7158,7158.0,0.9413466596528143,384,384.0,0.05049973698053656,0.1351920042083114
6,1,100.0,稻城县,156513337,7023,7023.0,119,119.0,0.01694432578670084,255,255.0,0.03630926954293037,6649,6649.0,0.9467464046703687,218,218.0,0.03104086572689734,0.12345151644596326
7,1,100.0,小金县,156513227,5561,5561.0,59,59.0,0.010609602589462327,232,232.0,0.0417191152670383,5270,5270.0,0.9476712821434994,234,234.0,0.042078762812443805,0.11526703830246358
8,1,100.0,理县,156513222,4322,4322.0,46,46.0,0.01064322073114299,146,146.0,0.03378065710319297,4130,4130.0,0.955576122165664,121,121.0,0.02799629801018047,0.09949097639981491
9,1,100.0,理塘县,156513334,13998,13998.0,181,181.0,0.012930418631233034,411,411.0,0.029361337333904843,13406,13406.0,0.9577082440348621,352,352.0,0.025146449492784682,0.09751393056150878
10,1,100.0,九寨沟县,156513225,5235,5235.0,78,78.0,0.01489971346704871,98,98.0,0.018720152817574023,5059,5059.0,0.9663801337153772,136,136.0,0.02597898758357211,0.08213944603629417
11,1,100.0,茂县,156513223,3856,3856.0,52,52.0,0.013485477178423237,76,76.0,0.01970954356846473,3728,3728.0,0.966804979253112,93,93.0,0.02411825726141079,0.07987551867219916
12,1,100.0,若尔盖县,156513232,10249,10249.0,126,126.0,0.012293882329983413,217,217.0,0.021172797346082545,9906,9906.0,0.966533320323934,139,139.0,0.013562298760854718,0.07922724168211533
13,1,100.0,道孚县,156513326,7020,7020.0,89,89.0,0.012678062678062678,137,137.0,0.019515669515669517,6794,6794.0,0.9678062678062678,145,145.0,0.020655270655270654,0.07706552706552706
14,1,100.0,松潘县,156513224,8311,8311.0,77,77.0,0.00926482974371315,171,171.0,0.02057514137889544,8063,8063.0,0.9701600288773914,174,174.0,0.02093610877150764,0.06894477198893034
15,1,100.0,乡城县,156513336,4938,4938.0,48,48.0,0.009720534629404616,94,94.0,0.019036046982584043,4796,4796.0,0.9712434183880113,60,60.0,0.012150668286755772,0.06723369785338193
16,1,100.0,得荣县,156513338,2864,2864.0,25,25.0,0.008729050279329608,54,54.0,0.018854748603351956,2785,2785.0,0.9724162011173184,28,28.0,0.009776536312849162,0.06389664804469274
17,1,100.0,红原县,156513233,8311,8311.0,78,78.0,0.009385152207917219,113,113.0,0.01359643845505956,8120,8120.0,0.9770184093370232,85,85.0,0.010227409457345687,0.05534833353387078
18,1,100.0,黑水县,156513228,4140,4140.0,18,18.0,0.004347826086956522,84,84.0,0.020289855072463767,4038,4038.0,0.9753623188405797,63,63.0,0.015217391304347827,0.0536231884057971
19,1,100.0,雅江县,156513325,7560,7560.0,57,57.0,0.00753968253968254,85,85.0,0.011243386243386243,7418,7418.0,0.9812169312169312,75,75.0,0.00992063492063492,0.04510582010582011
20,1,100.0,甘孜县,156513328,6863,6863.0,42,42.0,0.006119772694157075,72,72.0,0.01049103890426927,6749,6749.0,0.9833891884015736,42,42.0,0.006119772694157075,0.03934139589100977
21,1,100.0,阿坝县,156513231,10064,10064.0,58,58.0,0.005763116057233704,88,88.0,0.008744038155802861,9918,9918.0,0.9854928457869634,70,70.0,0.006955484896661367,0.03477742448330684
22,1,100.0,马尔康市,156513201,6621,6621.0,38,38.0,0.0057393143029753815,46,46.0,0.006947590998338619,6537,6537.0,0.987313094698686,49,49.0,0.0074006947590998335,0.031113124905603383
23,1,100.0,金川县,156513226,5357,5357.0,33,33.0,0.006160164271047228,31,31.0,0.005786820981892851,5293,5293.0,0.98805301474706,33,33.0,0.006160164271047228,0.030054134776927387
24,1,100.0,德格县,156513330,11393,11393.0,64,64.0,0.005617484420258053,71,71.0,0.006231896778723778,11258,11258.0,0.9881506188010182,74,74.0,0.006495216360923374,0.029316246818221717
